Date,Open,High,Low,Close,Adj Close,Volume
2018-08-06,55.700001,57.689999,55.099998,57.540001,57.540001,1949200
2018-08-07,57.860001,57.860001,56.020000,56.490002,56.490002,1054700
2018-08-08,56.200001,56.616001,55.310001,55.799999,55.799999,864600
2018-08-09,56.090000,57.419998,55.821999,56.470001,56.470001,518400
2018-08-10,56.200001,56.930000,55.849998,56.580002,56.580002,484900
2018-08-13,56.570000,57.099998,56.209999,56.810001,56.810001,415300
2018-08-14,57.380001,59.459999,57.166000,58.790001,58.790001,852100
2018-08-15,58.630001,59.130001,56.919998,58.439999,58.439999,707700
2018-08-16,58.520000,59.098999,56.820000,57.230000,57.230000,848800
2018-08-17,56.990002,58.590000,56.849998,58.270000,58.270000,1015800
2018-08-20,58.240002,58.430000,57.049999,57.180000,57.180000,428500
2018-08-21,57.419998,58.029999,57.046001,57.540001,57.540001,389200
2018-08-22,57.700001,58.150002,57.459999,57.630001,57.630001,295300
2018-08-23,57.619999,58.310001,57.195000,58.099998,58.099998,353500
2018-08-24,58.029999,58.750000,57.990002,58.549999,58.549999,476800
2018-08-27,58.669998,58.930000,57.380001,57.529999,57.529999,390300
2018-08-28,57.459999,58.570000,57.340000,58.349998,58.349998,452900
2018-08-29,58.410000,58.869999,58.167999,58.490002,58.490002,615400
2018-08-30,58.490002,59.459999,58.029999,58.869999,58.869999,428800
2018-08-31,58.680000,60.490002,58.619999,60.450001,60.450001,1174400
2018-09-04,60.490002,60.599998,58.599998,58.759998,58.759998,762500
2018-09-05,58.310001,58.869999,57.369999,58.810001,58.810001,649500
2018-09-06,58.830002,59.360001,57.730000,57.930000,57.930000,615300
2018-09-07,57.599998,59.049999,57.470001,57.900002,57.900002,489000
2018-09-10,58.040001,59.230000,57.779999,58.549999,58.549999,603200
2018-09-11,58.400002,59.130001,58.049999,58.849998,58.849998,418900
2018-09-12,58.990002,59.889999,57.230000,57.490002,57.490002,1049700
2018-09-13,57.410000,58.099998,56.720001,57.150002,57.150002,553700
2018-09-14,57.310001,57.830002,56.220001,57.200001,57.200001,605500
2018-09-17,57.029999,57.180000,56.189999,56.509998,56.509998,747900
2018-09-18,56.459999,58.020000,56.459999,57.939999,57.939999,421400
2018-09-19,57.970001,58.759998,57.250000,58.090000,58.090000,476100
2018-09-20,58.500000,59.389999,58.323002,58.470001,58.470001,646700
2018-09-21,58.560001,58.979000,57.980000,58.189999,58.189999,1516700
2018-09-24,57.889999,58.689999,56.980000,58.590000,58.590000,377100
2018-09-25,59.330002,61.869999,58.790001,61.119999,61.119999,1381800
2018-09-26,61.119999,62.490002,61.029999,61.200001,61.200001,738100
2018-09-27,61.209999,63.240002,61.029999,62.950001,62.950001,564500
2018-09-28,62.759998,63.470001,62.200001,63.009998,63.009998,519300
2018-10-01,62.990002,63.320000,61.474998,61.590000,61.590000,527700
2018-10-02,61.470001,62.000000,59.950001,60.599998,60.599998,669900
